"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date,Tests/1M pop ,"Country	""Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious""	""Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent"""
Belarus,974714.0,236.0,6903.0,2.0,928536.0,,39275.0,,103213.0,731.0,13041946.0,1381014.0,9443746.0,Europe,2022-04-18,,
Finland,949583.0,,3517.0,,46000.0,,900066.0,29.0,170906.0,633.0,10591416.0,1906246.0,5556164.0,Europe,2022-04-18,,
Bolivia,903908.0,20.0,21903.0,,852606.0,390.0,29399.0,220.0,75586.0,1832.0,2688875.0,224847.0,11958676.0,South America,2022-04-18,,
Uruguay,895775.0,,7197.0,,886654.0,,1924.0,18.0,256278.0,2059.0,6091188.0,1742664.0,3495331.0,South America,2022-04-18,,
UAE,895663.0,198.0,2302.0,,877648.0,370.0,15713.0,,88637.0,228.0,152710641.0,15112698.0,10104790.0,Asia,2022-04-18,,
Ecuador,866925.0,41.0,35528.0,,,,,759.0,47834.0,1960.0,2470170.0,136295.0,18123652.0,South America,2022-04-18,,
Costa Rica,847784.0,787.0,8383.0,5.0,829515.0,643.0,9886.0,44.0,163741.0,1619.0,4240743.0,819059.0,5177579.0,North America,2022-04-18,,
Guatemala,837608.0,50.0,17434.0,4.0,817392.0,259.0,2782.0,5.0,45252.0,942.0,4357102.0,235392.0,18510001.0,North America,2022-04-18,,
New Zealand,831149.0,6282.0,564.0,10.0,774408.0,7627.0,56177.0,,166160.0,113.0,6971077.0,1393630.0,5002100.0,Australia/Oceania,2022-04-18,,
Latvia,813243.0,67.0,5715.0,,797254.0,348.0,10274.0,11.0,439878.0,3091.0,7128115.0,3855551.0,1848793.0,Europe,2022-04-18,,
Azerbaijan,792365.0,3.0,9706.0,,782533.0,17.0,126.0,,76905.0,942.0,6771851.0,657260.0,10303147.0,Asia,2022-04-18,,
Panama,768978.0,184.0,8179.0,,758497.0,277.0,2302.0,9.0,173326.0,1844.0,5793689.0,1305882.0,4436610.0,North America,2022-04-18,,
Saudi Arabia,752705.0,133.0,9069.0,,739296.0,259.0,4340.0,56.0,21033.0,253.0,41759263.0,1166901.0,35786463.0,Asia,2022-04-18,,
Sri Lanka,662912.0,85.0,16496.0,1.0,642556.0,3.0,3860.0,,30727.0,765.0,6477329.0,300233.0,21574344.0,Asia,2022-04-18,,
Paraguay,648446.0,,18781.0,,624673.0,,4992.0,3.0,88953.0,2576.0,2615453.0,358786.0,7289722.0,South America,2022-04-18,,
Kuwait,630888.0,,2555.0,,627278.0,,1055.0,4.0,143911.0,583.0,7976136.0,1819428.0,4383870.0,Asia,2022-04-18,,
Myanmar,612602.0,37.0,19434.0,,591373.0,26.0,1795.0,,11125.0,353.0,7838552.0,142353.0,55064259.0,Asia,2022-04-18,,
Palestine,581816.0,138.0,5353.0,1.0,575899.0,286.0,564.0,17.0,109486.0,1007.0,3078533.0,579316.0,5314081.0,Asia,2022-04-18,,
Dominican Republic,578789.0,56.0,4375.0,,574244.0,4.0,170.0,16.0,52412.0,396.0,3255822.0,294829.0,11043085.0,North America,2022-04-18,,
Estonia,567644.0,181.0,2522.0,6.0,502253.0,324.0,62869.0,4.0,427399.0,1899.0,3295012.0,2480930.0,1328136.0,Europe,2022-04-18,,
Bahrain,563584.0,401.0,1474.0,,558446.0,490.0,3664.0,4.0,311786.0,815.0,9679913.0,5355131.0,1807596.0,Asia,2022-04-18,,
Venezuela,522049.0,7.0,5702.0,1.0,514911.0,139.0,1436.0,230.0,18453.0,202.0,3359014.0,118729.0,28291388.0,South America,2022-04-18,,
Moldova,516444.0,13.0,11482.0,1.0,503413.0,122.0,1549.0,27.0,128560.0,2858.0,3204755.0,797770.0,4017142.0,Europe,2022-04-18,,
Egypt,515645.0,,24613.0,,442182.0,,48850.0,122.0,4874.0,233.0,3693367.0,34910.0,105796348.0,Africa,2022-04-18,,
Libya,501862.0,,6429.0,,490900.0,,4533.0,101.0,71298.0,913.0,2476960.0,351895.0,7038917.0,Africa,2022-04-18,,
Ethiopia,470288.0,15.0,7509.0,,453646.0,10.0,9133.0,21.0,3917.0,63.0,4739492.0,39473.0,120070011.0,Africa,2022-04-18,,
Mongolia,469365.0,12.0,2177.0,,313256.0,,153932.0,192.0,139154.0,645.0,4030048.0,1194799.0,3372992.0,Asia,2022-04-18,,
Cyprus,464366.0,,993.0,,124370.0,,339003.0,60.0,379654.0,812.0,9477138.0,7748273.0,1223129.0,Asia,2022-04-18,,
Armenia,422770.0,8.0,8622.0,1.0,410458.0,10.0,3690.0,,142195.0,2900.0,3017543.0,1014921.0,2973180.0,Asia,2022-04-18,,
Honduras,421659.0,391.0,10891.0,3.0,131100.0,,279668.0,105.0,41391.0,1069.0,1263329.0,124012.0,10187191.0,North America,2022-04-18,,
Oman,388891.0,26.0,4257.0,,383975.0,30.0,659.0,7.0,72833.0,797.0,25000000.0,4682077.0,5339511.0,Asia,2022-04-18,,
Bosnia and Herzegovina,376437.0,,15749.0,,192218.0,,168470.0,,116034.0,4854.0,1748585.0,538987.0,3244209.0,Europe,2022-04-18,,
Qatar,363654.0,111.0,677.0,,361951.0,106.0,1026.0,1.0,129515.0,241.0,3422431.0,1218899.0,2807805.0,Asia,2022-04-18,,
Réunion,360445.0,,731.0,,342442.0,,17272.0,10.0,397502.0,806.0,1603660.0,1768529.0,906776.0,Africa,2022-04-18,,
Kenya,323618.0,4.0,5649.0,,317811.0,,158.0,,5790.0,101.0,3568521.0,63843.0,55895462.0,Africa,2022-04-18,,
Zambia,318515.0,,3973.0,,313692.0,,850.0,,16497.0,206.0,3399995.0,176101.0,19307077.0,Africa,2022-04-18,,
North Macedonia,308619.0,14.0,9262.0,1.0,298532.0,226.0,825.0,,148145.0,4446.0,1997169.0,958693.0,2083221.0,Europe,2022-04-18,,
Botswana,305859.0,,2688.0,,303026.0,,145.0,1.0,125517.0,1103.0,2026898.0,831791.0,2436788.0,Africa,2022-04-18,,
Albania,274520.0,16.0,3496.0,,270658.0,32.0,366.0,2.0,95580.0,1217.0,1793981.0,624611.0,2872159.0,Europe,2022-04-18,,
Algeria,265741.0,2.0,6874.0,,178336.0,1.0,80531.0,6.0,5870.0,152.0,230861.0,5099.0,45271360.0,Africa,2022-04-18,,
Nigeria,255648.0,,3143.0,,249847.0,,2658.0,11.0,1187.0,15.0,4977858.0,23120.0,215301380.0,Africa,2022-04-18,,
Zimbabwe,247297.0,19.0,5464.0,1.0,241112.0,100.0,721.0,12.0,16215.0,358.0,2229802.0,146206.0,15251064.0,Africa,2022-04-18,,
Uzbekistan,238313.0,25.0,1637.0,,236309.0,34.0,367.0,23.0,6940.0,48.0,1377915.0,40126.0,34339369.0,Asia,2022-04-18,,
Montenegro,234251.0,33.0,2709.0,,230916.0,25.0,626.0,6.0,372887.0,4312.0,2439629.0,3883467.0,628209.0,Europe,2022-04-18,,
Luxembourg,229311.0,,1054.0,,214556.0,,13701.0,4.0,355937.0,1636.0,4200517.0,6520051.0,644246.0,Europe,2022-04-18,,
