Unnamed: 0	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
109	China	223488	156.0	5224.0	1.0	214308.0	474.0	3956.0	192.0	155.0	4.0	160000000.0	111163.0	1439323776.0	Asia,,
110	Laos	209744		754.0						28060.0	101.0	1232128.0	164838.0	7474767.0	Asia,,
111	Kyrgyzstan	200993		2991.0		196406.0		1596.0	131.0	29877.0	445.0	1907195.0	283501.0	6727287.0	Asia,,
112	Iceland	186969		153.0						541277.0	443.0	1925385.0	5574008.0	345422.0	Europe,,
113	Afghanistan	179716		7698.0		162741.0		9277.0	1124.0	4428.0	190.0	958454.0	23618.0	40582247.0	Asia,,
114	Maldives	179662		298.0		163687.0		15677.0	25.0	321683.0	534.0	2213831.0	3963845.0	558506.0	Asia,,
115	Namibia	164953		4033.0		157953.0		2967.0		62774.0	1535.0	1030613.0	392208.0	2627723.0	Africa,,
116	Martinique	164411		931.0		104.0		163376.0	8.0	438762.0	2485.0	828928.0	2212150.0	374716.0	North America,,
117	Uganda	164069		3596.0		100205.0		60268.0	2.0	3385.0	74.0	2612795.0	53910.0	48465516.0	Africa,,
118	El Salvador	162089		4131.0		150662.0		7296.0	8.0	24754.0	631.0	1950448.0	297871.0	6547961.0	North America,,
119	Ghana	161351		1445.0		159865.0		41.0	1.0	4996.0	45.0	2447185.0	75772.0	32296599.0	Africa,,
120	Trinidad and Tobago	158668		3895.0		145462.0		9311.0	18.0	112687.0	2766.0	738081.0	524191.0	1408039.0	North America,,
121	Brunei	146775		222.0		144943.0		1610.0		329547.0	498.0	717784.0	1611607.0	445384.0	Asia,,
122	Guadeloupe	140130		854.0		2250.0		137026.0	19.0	350104.0	2134.0	938039.0	2343615.0	400253.0	North America,,
123	Cambodia	136262		3056.0		133201.0		5.0		7943.0	178.0	2964585.0	172806.0	17155558.0	Asia,,
124	Jamaica	134660		3032.0		86045.0		45583.0		45104.0	1016.0	1055693.0	353600.0	2985555.0	North America,,
125	Rwanda	129988		1459.0		45522.0		83007.0		9588.0	108.0	5390797.0	397614.0	13557875.0	Africa,,
126	Cameroon	119780		1927.0		117791.0		62.0	13.0	4310.0	69.0	1751774.0	63031.0	27792352.0	Africa,,
127	Angola	99194		1900.0		97149.0		145.0		2851.0	55.0	1499795.0	43104.0	34794535.0	Africa,,
128	Malta	94113		718.0		91240.0		2155.0	4.0	212080.0	1618.0	1914941.0	4315243.0	443762.0	Europe,,
129	DRC	87633		1338.0		50930.0		35365.0		925.0	14.0	846704.0	8941.0	94696994.0	Africa,,
130	Senegal	86075		1966.0		84092.0		17.0		4897.0	112.0	1088831.0	61949.0	17576236.0	Africa,,
131	Malawi	85935		2638.0		82848.0		449.0	67.0	4283.0	131.0	581687.0	28994.0	20062407.0	Africa,,
132	French Guiana	82313		397.0		11254.0		70662.0	1.0	262742.0	1267.0	635980.0	2030037.0	313285.0	South America,,
133	Ivory Coast	82070		799.0		81235.0		36.0		2972.0	29.0	1515956.0	54905.0	27610458.0	Africa,,
134	Suriname	80240		1339.0		49466.0		29435.0		134507.0	2245.0	236652.0	396701.0	596550.0	South America,,
135	Barbados	79049		440.0		74772.0		3837.0		274439.0	1528.0	680193.0	2361461.0	288039.0	North America,,
136	Channel Islands	75767		176.0		74979.0		612.0		428336.0	995.0	1252808.0	7082533.0	176887.0	Europe,,
